,birth year,tripduration
0,1857.0,1268.6666666666667
1,1863.0,1864.5
2,1874.0,1235.0
3,1880.0,702.0
4,1885.0,918.3269398085897
5,1886.0,980.4069430569431
6,1887.0,1421.3269190960066
7,1888.0,862.9197206536436
8,1889.0,4013.353635063077
9,1890.0,657.2235343992248
10,1891.0,2458.5
11,1893.0,796.5980099502488
12,1894.0,550.3405257936508
13,1895.0,627.8428246378669
14,1896.0,763.8854513332512
15,1897.0,1117.3035714285716
16,1899.0,1053.8092443462765
17,1900.0,671.7872688539352
18,1901.0,1050.0011378575107
19,1903.0,1010.0
20,1904.0,910.125
21,1905.0,1878.0
22,1906.0,1067.1666666666667
23,1907.0,948.911505296871
24,1908.0,1018.3333333333334
25,1909.0,1974.3727565577542
26,1910.0,659.9536561743341
27,1911.0,1410.2323232323233
28,1912.0,2652.6411316742697
29,1913.0,1280.7287581699345
30,1915.0,752.4196428571429
31,1916.0,749.0858208955224
32,1917.0,836.3498112547559
33,1918.0,19675.802307492868
34,1919.0,1467.3290825118906
35,1920.0,1348.9128151260504
36,1921.0,399.79914510213695
37,1922.0,946.5743325705567
38,1923.0,701.4311035789054
39,1924.0,607.716960951428
40,1925.0,52849.5
41,1926.0,595.9812163370558
42,1927.0,963.7094017094017
43,1928.0,1162.645
44,1929.0,697.1215339233037
45,1930.0,1257.100605653615
46,1931.0,954.1857228223753
47,1932.0,577.7897308312106
48,1933.0,623.5605132740417
49,1934.0,626.7903350304665
50,1935.0,1892.0574513666797
51,1936.0,619.9766213782096
52,1937.0,942.3941479513805
53,1938.0,870.8119087305196
54,1939.0,1006.2398416002325
55,1940.0,847.2595852013632
56,1941.0,857.3468720439151
57,1942.0,801.1525146647265
58,1943.0,897.7284164433091
59,1944.0,833.6220517686588
60,1945.0,755.2226847408368
61,1946.0,842.4794892316728
62,1947.0,842.3869074690374
63,1948.0,806.433192352983
64,1949.0,864.5281582666943
65,1950.0,847.7370680088425
66,1951.0,863.7351791333803
67,1952.0,827.495361198458
68,1953.0,897.7343285794647
69,1954.0,819.1531363744111
70,1955.0,830.1576414040946
71,1956.0,813.0447924721329
72,1957.0,861.7462019072259
73,1958.0,809.2780244859501
74,1959.0,820.2396247524515
75,1960.0,807.6351106768702
76,1961.0,809.8701392156066
77,1962.0,850.5726959985041
78,1963.0,823.7937761487383
79,1964.0,799.802095055045
80,1965.0,804.1167783404377
81,1966.0,809.1351797762869
82,1967.0,781.6568398664594
83,1968.0,809.4262886596485
84,1969.0,1560.2812632404064
85,1970.0,809.3111439083815
86,1971.0,800.8811803817357
87,1972.0,826.5897866961233
88,1973.0,822.1262297057061
89,1974.0,807.5945716084335
90,1975.0,824.4357730642332
91,1976.0,808.751850769907
92,1977.0,862.2966617302151
93,1978.0,814.3367258522261
94,1979.0,808.6509656497783
95,1980.0,824.9160682754997
96,1981.0,810.6455261210889
97,1982.0,821.2226997300605
98,1983.0,847.0911237790418
99,1984.0,834.4729360725636
100,1985.0,822.0117434710937
101,1986.0,822.5787516605259
102,1987.0,839.7551284950323
103,1988.0,978.2281840100433
104,1989.0,881.7968207445265
105,1990.0,838.9946878842323
106,1991.0,830.3114087061377
107,1992.0,824.5064874516653
108,1993.0,823.5980088156797
109,1994.0,826.8991830081549
110,1995.0,938.0127420139285
111,1996.0,956.1573164256423
112,1997.0,975.699798801778
113,1998.0,1010.4552880180764
114,1999.0,1122.7325159766601
115,2000.0,1156.493247845754
116,2001.0,1262.976258320229
117,2002.0,1586.7602732950659
118,2003.0,1558.6450296375474
