,Year,Subscription Type,Amount Purchased,Percentage
0,2013,Annual Membership,80955.0,18.83563635855997
1,2013,Short-Term Pass,348842.0,81.16436364144003
2,2014,Annual Membership,31424.0,9.045506751602623
3,2014,Short-Term Pass,315975.0,90.95449324839737
4,2015,Annual Membership,31936.0,11.14332869260589
5,2015,Short-Term Pass,254657.0,88.85667130739411
6,2016,Annual Membership,47223.0,8.10283529742826
7,2016,Short-Term Pass,535573.0,91.89716470257174
8,2017,Annual Membership,46819.0,7.060219743100229
9,2017,Short-Term Pass,616319.0,92.93978025689978
10,2018,Annual Membership,44258.0,4.790168994755037
11,2018,Short-Term Pass,879676.0,95.20983100524496
12,2019,Annual Membership,18184.0,3.626160844083459
13,2019,Short-Term Pass,483283.0,96.37383915591654
